matricula;periodo;disciplina;nota;situacao;data_ocorrencia
20230089;2025.2;Direito Civil;;CURSANDO;2025-12-20
20230099;2023.2;Cálculo II;8.7;APROVADO;2023-12-20
123456;2025.1;Processo Civil;8.5;APROVADO;2025-07-15
20230094;2024.1;Banco de Dados;6.2;APROVADO;2024-07-15
20230087;2024.2;Sistemas Operacionais;7.4;APROVADO;2024-12-20
20230034;2025.2;Direito Penal;6.3;APROVADO;2025-12-20
20230082;2025.1;Filosofia do Direito;7.9;APROVADO;2025-07-15
20230075;2025.2;Engenharia de Requisitos;;TRANCADO;2025-12-20
20230100;2023.1;Contabilidade Básica;;CURSANDO;2023-07-15
20230057;2024.1;Arquitetura de Computadores;5.3;APROVADO;2024-07-15
20230002;2025.1;Arquitetura de Computadores;8.5;APROVADO;2025-07-15
1234567A;2025.2;Logística;7.6;APROVADO;2025-12-20
20230099;2026.1;Arquitetura de Computadores;;TRANCADO;2026-07-15
20230073;2024.2;Logística;5.9;APROVADO;2024-12-20
2023 0001;2026.1;Algoritmos e Programação;;TRANCADO;2026-07-15
20230091;2024.1;Matemática Discreta;1.1;REPROVADO;2024-07-15
20230019;2024.1;Direito Constitucional;4.4;APROVADO;2024-07-15
20230005;2025.1;Banco de Dados;;CURSANDO;2025-07-15
20230096;2026.1;Gestão de Pessoas;;CURSANDO;2026-07-15
20230020;2023.2;Algoritmos e Programação;8.8;APROVADO;2023-12-20
20230060;2024.2;Banco de Dados;;CURSANDO;2024-12-20
20230099;2025.2;Sistemas Operacionais;4.6;APROVADO;2025-12-20
20230069;2025.2;Sistemas Operacionais;;TRANCADO;2025-12-20
20230097;2023.2;Direito do Trabalho;7.0;APROVADO;2023-12-20
20230006;2023.1;Sistemas Operacionais;;CURSANDO;2023-07-15
20230035;2024.2;Cálculo I;9.6;APROVADO;2024-12-20
20230099;2024.2;Matemática Discreta;;TRANCADO;2024-12-20
20230098;2024.1;Teste de Software;1.3;REPROVADO;2024-07-15
20230018;2024.1;Contabilidade Básica;3.6;REPROVADO;2024-07-15
20230017;2024.1;Matemática Discreta;;CURSANDO;2024-07-15
20230017;2025.2;Sistemas Operacionais;;CURSANDO;2025-12-20
20230069;2023.2;Estrutura de Dados;0.2;REPROVADO;2023-12-20
20230093;2023.2;Filosofia do Direito;1.0;REPROVADO;2023-12-20
20230018;2024.2;Marketing;1.5;REPROVADO;2024-12-20
20230001;2023.1;Cálculo I;5.7;APROVADO;2023-07-15
20230002;2026.1;Sistemas Operacionais;;TRANCADO;2026-07-15
20230027;2026.1;Inteligência Artificial;;TRANCADO;2026-07-15
20230030;2023.2;Engenharia de Requisitos;5.3;APROVADO;2023-12-20
20230079;2024.1;Engenharia de Requisitos;8.0;APROVADO;2024-07-15
20230068;2026.1;Engenharia de Requisitos;;CURSANDO;2026-07-15
20230032;2023.2;Matemática Discreta;8.7;APROVADO;2023-12-20
20230091;2025.1;Cálculo II;0.9;REPROVADO;2025-07-15
20230009;2025.1;Banco de Dados;0.2;REPROVADO;2025-07-15
20230087;2024.1;Cálculo II;3.3;REPROVADO;2024-07-15
20230003;2026.1;Economia;;CURSANDO;2026-07-15
20230016;2023.1;Teste de Software;;CURSANDO;2023-07-15
20230017;2023.1;Cálculo II;7.8;APROVADO;2023-07-15
20230031;2023.2;Redes de Computadores;2.9;REPROVADO;2023-12-20
20230096;2023.2;Contabilidade Básica;1.5;REPROVADO;2023-12-20
20230007;2023.1;Marketing;;CURSANDO;2023-07-15
20230091;2025.2;Estrutura de Dados;;TRANCADO;2025-12-20
20230086;2023.2;Redes de Computadores;4.3;APROVADO;2023-12-20
1234567890;2023.2;Redes de Computadores;6.5;APROVADO;2023-12-20
20230082;2026.1;Direito Constitucional;;TRANCADO;2026-07-15
20230066;2023.1;Logística;2.4;REPROVADO;2023-07-15
20230056;2024.2;Banco de Dados;;CURSANDO;2024-12-20
2023 0001;2024.2;Engenharia de Requisitos;4.9;APROVADO;2024-12-20
20230062;2026.1;Logística;5.7;APROVADO;2026-07-15
20230027;2023.2;Matemática Discreta;;CURSANDO;2023-12-20
20230076;2024.2;Cálculo II;1.9;REPROVADO;2024-12-20
ABCDEF12;2026.1;Estrutura de Dados;;CURSANDO;2026-07-15
20230097;2023.1;Processo Civil;5.8;APROVADO;2023-07-15
123456;2024.2;Direito Penal;3.8;REPROVADO;2024-12-20
20230086;2023.1;Engenharia de Requisitos;9.2;APROVADO;2023-07-15
20230019;2025.1;Direito do Trabalho;7.7;APROVADO;2025-07-15
20230020;2025.1;Cálculo I;8.5;APROVADO;2025-07-15
20230033;2023.2;Economia;2.3;REPROVADO;2023-12-20
20230019;2023.1;Filosofia do Direito;8.1;APROVADO;2023-07-15
20230097;2026.1;Direito Penal;6.7;APROVADO;2026-07-15
20230058;2025.1;Marketing;9.2;APROVADO;2025-07-15
20230066;2025.2;Gestão de Pessoas;;CURSANDO;2025-12-20
20230017;2025.1;Arquitetura de Computadores;;CURSANDO;2025-07-15
20230018;2023.2;Gestão de Pessoas;5.8;APROVADO;2023-12-20
20230086;2024.1;Algoritmos e Programação;1.0;REPROVADO;2024-07-15
20230095;2024.1;Estrutura de Dados;9.3;APROVADO;2024-07-15
20230018;2025.1;Economia;4.9;APROVADO;2025-07-15
20230062;2025.2;Economia;;CURSANDO;2025-12-20
2023001;2023.2;Administração Geral;5.7;APROVADO;2023-12-20
1234567A;2026.1;Logística;9.7;APROVADO;2026-07-15
20230075;2023.1;Física I;0.6;REPROVADO;2023-07-15
20230033;2025.1;Marketing;6.6;APROVADO;2025-07-15
ABCDEF12;2025.2;Matemática Discreta;;CURSANDO;2025-12-20
20230088;2024.1;Gestão de Pessoas;;TRANCADO;2024-07-15
20230018;2023.1;Administração Geral;5.5;APROVADO;2023-07-15
20230091;2023.1;Sistemas Operacionais;6.7;APROVADO;2023-07-15
20230003;2024.2;Gestão de Pessoas;;CURSANDO;2024-12-20
20230082;2023.1;Processo Civil;7.8;APROVADO;2023-07-15
20230081;2024.1;Marketing;8.1;APROVADO;2024-07-15
20230004;2023.1;Direito Penal;9.8;APROVADO;2023-07-15
20230071;2026.1;Algoritmos e Programação;;TRANCADO;2026-07-15
20230073;2024.1;Contabilidade Básica;;CURSANDO;2024-07-15
20230009;2025.2;Redes de Computadores;;CURSANDO;2025-12-20
20230001X;2026.1;Sistemas Operacionais;;TRANCADO;2026-07-15
20230085;2024.1;Contabilidade Básica;9.3;APROVADO;2024-07-15
20230073;2023.2;Marketing;;CURSANDO;2023-12-20
20230075;2023.2;Cálculo I;;TRANCADO;2023-12-20
20230031;2024.2;Banco de Dados;9.1;APROVADO;2024-12-20
20230096;2025.1;Marketing;8.2;APROVADO;2025-07-15
20230004;2026.1;Direito do Trabalho;;TRANCADO;2026-07-15
20230056;2023.2;Teste de Software;5.1;APROVADO;2023-12-20
20230058;2023.2;Administração Geral;4.1;APROVADO;2023-12-20
20230078;2025.1;Filosofia do Direito;;CURSANDO;2025-07-15
20230073;2025.1;Gestão de Pessoas;6.7;APROVADO;2025-07-15
20230007;2024.2;Gestão de Pessoas;6.3;APROVADO;2024-12-20
20230088;2026.1;Gestão de Pessoas;;TRANCADO;2026-07-15
20230084;2025.1;Cálculo II;;TRANCADO;2025-07-15
20230069;2025.1;Matemática Discreta;;TRANCADO;2025-07-15
20230081;2023.1;Contabilidade Básica;8.0;APROVADO;2023-07-15
20230056;2026.1;Física I;7.0;APROVADO;2026-07-15
20230084;2024.2;Inteligência Artificial;0.2;REPROVADO;2024-12-20
20230064;2023.2;Banco de Dados;7.5;APROVADO;2023-12-20
20230035;2025.1;Algoritmos e Programação;;TRANCADO;2025-07-15
