matricula;periodo;quantidade;data_ocorrencia;tipo_trancamento
20230075;2025.2;1;2025-12-20;TRANCADO
20230099;2026.1;1;2026-07-15;TRANCADO
2023 0001;2026.1;1;2026-07-15;TRANCADO
20230069;2025.2;1;2025-12-20;TRANCADO
20230099;2024.2;1;2024-12-20;TRANCADO
20230002;2026.1;1;2026-07-15;TRANCADO
20230027;2026.1;1;2026-07-15;TRANCADO
20230091;2025.2;1;2025-12-20;TRANCADO
20230082;2026.1;1;2026-07-15;TRANCADO
20230088;2024.1;1;2024-07-15;TRANCADO
20230071;2026.1;1;2026-07-15;TRANCADO
20230001X;2026.1;1;2026-07-15;TRANCADO
20230075;2023.2;1;2023-12-20;TRANCADO
20230004;2026.1;1;2026-07-15;TRANCADO
20230088;2026.1;1;2026-07-15;TRANCADO
20230084;2025.1;1;2025-07-15;TRANCADO
20230069;2025.1;1;2025-07-15;TRANCADO
20230035;2025.1;1;2025-07-15;TRANCADO
20230008;2023.1;1;2023-07-15;TRANCADO
20230070;2023.1;1;2023-07-15;TRANCADO
20230085;2024.2;1;2024-12-20;TRANCADO
20230032;2024.2;1;2024-12-20;TRANCADO
20230087;2025.1;1;2025-07-15;TRANCADO
20230004;2025.2;1;2025-12-20;TRANCADO
20230016;2025.2;1;2025-12-20;TRANCADO
20230092;2026.1;1;2026-07-15;TRANCADO
20230077;2023.1;1;2023-07-15;TRANCADO
20230061;2023.2;1;2023-12-20;TRANCADO
20230090;2025.2;1;2025-12-20;TRANCADO
20230007;2026.1;1;2026-07-15;TRANCADO
20230077;2023.2;1;2023-12-20;TRANCADO
202300123;2024.2;1;2024-12-20;TRANCADO
20230095;2023.1;1;2023-07-15;TRANCADO
20230029;2025.2;1;2025-12-20;TRANCADO
20230093;2025.1;1;2025-07-15;TRANCADO
20230089;2024.1;1;2024-07-15;TRANCADO
20230078;2024.1;1;2024-07-15;TRANCADO
20230016;2026.1;1;2026-07-15;TRANCADO
20230079;2026.1;1;2026-07-15;TRANCADO
20230035;2024.1;1;2024-07-15;TRANCADO
20230070;2023.2;1;2023-12-20;TRANCADO
20230100;2024.2;1;2024-12-20;TRANCADO
20230017;2026.1;1;2026-07-15;TRANCADO
20230064;2026.1;1;2026-07-15;TRANCADO
2023 0001;2025.2;1;2025-12-20;TRANCADO
20230098;2023.2;1;2023-12-20;TRANCADO
20230001;2026.1;1;2026-07-15;TRANCADO
123456;2023.1;1;2023-07-15;TRANCADO
20230018;2026.1;1;2026-07-15;TRANCADO
20230059;2026.1;1;2026-07-15;TRANCADO
20230001;2024.1;1;2024-07-15;TRANCADO
20230076;2023.2;1;2023-12-20;TRANCADO
20230030;2026.1;1;2026-07-15;TRANCADO
202300123;2024.1;1;2024-07-15;TRANCADO
20230076;2024.1;1;2024-07-15;TRANCADO
20230068;2025.1;1;2025-07-15;TRANCADO
20230071;2024.1;1;2024-07-15;TRANCADO
20230098;2025.2;1;2025-12-20;TRANCADO
20230057;2026.1;1;2026-07-15;TRANCADO
20230084;2026.1;1;2026-07-15;TRANCADO
20230019;2024.2;1;2024-12-20;TRANCADO
20230059;2025.1;1;2025-07-15;TRANCADO
20230026;2023.1;1;2023-07-15;TRANCADO
20230007;2024.1;1;2024-07-15;TRANCADO
20230001;2025.1;1;2025-07-15;TRANCADO
20230010;2025.2;1;2025-12-20;TRANCADO
20230008;2023.2;1;2023-12-20;TRANCADO
20230005;2026.1;1;2026-07-15;TRANCADO
20230073;2026.1;1;2026-07-15;TRANCADO
202300123;2023.1;1;2023-07-15;TRANCADO
1234567;2025.2;1;2025-12-20;TRANCADO
20230088;2025.2;1;2025-12-20;TRANCADO
20230032;2026.1;1;2026-07-15;TRANCADO
20230002;2024.2;1;2024-12-20;TRANCADO
20230073;2025.2;1;2025-12-20;TRANCADO
20230068;2025.2;1;2025-12-20;TRANCADO
202300123;2023.2;1;2023-12-20;TRANCADO
1234567;2025.1;1;2025-07-15;TRANCADO
