matricula;periodo;tipo_trancamento;quantidade;data_ocorrencia;data_ocorrencia_iso;flag_valido;motivos_rejeicao;fonte
20230075;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230099;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
2023 0001;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230069;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230099;2024.2;TRANCADO;1;2024-12-20;2024-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230002;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230027;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230091;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230082;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230088;2024.1;TRANCADO;1;2024-07-15;2024-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230071;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230001X;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230075;2023.2;TRANCADO;1;2023-12-20;2023-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230004;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230088;2026.1;TRANCADO;1;2026-07-15;2026-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230084;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230069;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230035;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230008;2023.1;TRANCADO;1;2023-07-15;2023-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230070;2023.1;TRANCADO;1;2023-07-15;2023-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230085;2024.2;TRANCADO;1;2024-12-20;2024-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230032;2024.2;TRANCADO;1;2024-12-20;2024-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230087;2025.1;TRANCADO;1;2025-07-15;2025-07-15;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
20230004;2025.2;TRANCADO;1;2025-12-20;2025-12-20;N;MATRICULA_SEM_CADASTRO;controle_trancamentos
