matricula;periodo;disciplina;nota;situacao;data_ocorrencia;data_ocorrencia_iso
20230098;2024.1;Teste de Software;1.3;REPROVADO;2024-07-15;2024-07-15
20230009;2025.1;Banco de Dados;0.2;REPROVADO;2025-07-15;2025-07-15
20230086;2023.2;Redes de Computadores;4.3;APROVADO;2023-12-20;2023-12-20
20230086;2020.1;Engenharia de Requisitos;9.2;APROVADO;2023-07-15;2023-07-15
20230086;2021.1;Algoritmos e Programação;1.0;REPROVADO;2024-07-15;2024-07-15
20230095;2024.1;Estrutura de Dados;9.3;APROVADO;2024-07-15;2024-07-15
20230009;2026.1;Cálculo I;8.7;APROVADO;2026-07-15;2026-07-15
20230006;2025.1;Arquitetura de Computadores;7.1;APROVADO;2025-07-15;2025-07-15
20230092;2024.1;Logística;3.1;REPROVADO;2024-07-15;2024-07-15
20230077;2026.1;Administração Geral;5.6;APROVADO;2026-07-15;2026-07-15
20230074;2023.2;Direito Penal;7.7;APROVADO;2023-12-20;2023-12-20
20230095;2025.1;Inteligência Artificial;5.0;APROVADO;2025-07-15;2025-07-15
20230077;2025.2;Economia;6.8;APROVADO;2025-12-20;2025-12-20
20230095;2025.2;Matemática Discreta;6.7;APROVADO;2025-12-20;2025-12-20
20230092;2023.1;Contabilidade Básica;5.0;APROVADO;2023-07-15;2023-07-15
20230006;2024.1;Cálculo II;0.9;REPROVADO;2024-07-15;2024-07-15
20230086;2025.1;Cálculo I;3.8;REPROVADO;2025-07-15;2025-07-15
20230086;2025.1;Cálculo I;3.8;REPROVADO;2025-07-15;2022-07-15
20230086;2025.1;Cálculo I;3.8;REPROVADO;2025-07-15;2021-07-15
20230086;2021.1;Cálculo I;3.8;REPROVADO;2025-07-15;2020-07-15
20230089;2023.1;Filosofia do Direito;4.2;APROVADO;2023-07-15;2023-07-15
20230092;2024.2;Marketing;6.9;APROVADO;2024-12-20;2024-12-20
20230003;2024.1;Logística;8.6;APROVADO;2024-07-15;2024-07-15
20230095;2026.1;Cálculo II;8.7;APROVADO;2026-07-15;2026-07-15
20230098;2026.1;Física I;5.5;APROVADO;2026-07-15;2026-07-15
20230077;2025.1;Administração Geral;9.6;APROVADO;2025-07-15;2025-07-15
